,player,team,games,position,recTarg,recRec,recRec40s,recYds,recYds100Games,recTds,recTd40s,recDrops,catch,depth,ypt,ypr,rac,rzRecTarg,rzRecRec,rzRecTds,rzRecTargPct,rzRecRecPct,rzRecTdPct,ezRecTarg,ezRecTds,ezRecTargPct,ezRecRecPct,ezRecTdPct,rushCarries,rush40s,rushYds,rushYds100Games,rushTds,rushTd40s,ypc,yac,rushTa,tat,fumbles,rzRushCarries,rzRushTds,rzRushPct,rzRushTdPct,i5RushCarries,i5RushTds,i5RushPct,i5RushTdPct,patConversions,patAttempts,fantasyPts,ptsPerSnap,ptsPerTouch,FIN_W1,FIN_W2,FIN_W3,FIN_W4,FIN_W5,FIN_W6,FIN_W7,FIN_W8,FIN_W9,FIN_W10,FIN_W11,FIN_W12,FIN_W13,FIN_W14,FIN_W15,FIN_W16,FIN_W17,FIN_W18,SOS_W1,SOS_W2,SOS_W3,SOS_W4,SOS_W5,SOS_W6,SOS_W7,SOS_W8,SOS_W9,SOS_W10,SOS_W11,SOS_W12,SOS_W13,SOS_W14,SOS_W15,SOS_W16,SOS_W17,SOS_W18,ADP,age
0,Jonathan Taylor,IND,17,RB,48,40,1,360,1,2,1,3,83.3,-0.92,7.5,9.0,10.07,3,3,1,6.3,7.5,50.0,0,0,0.0,0.0,0.0,332,5,1811,10,18,2,5.45,3.83,66,0.2,4,89,14,26.8,77.8,30,12,9.0,66.7,0,1,377.1,0.49,1.01,17.6,6.3,8.2,20.4,31.9,28.8,20.0,21.2,34.0,24.6,53.4,19.7,26.3,,23.0,10.8,18.4,12.5,11.0,41.0,37.0,10.0,2.0,3.0,5.0,6.0,2.0,5.0,1.0,11.0,3.0,,2.0,24.0,15.0,22.0,1.0,23.0
1,Christian McCaffrey,CAR,7,RB,40,37,0,343,0,1,0,0,92.5,1.93,8.57,9.27,7.27,4,4,1,10.0,10.8,100.0,0,0,0.0,0.0,0.0,99,0,442,0,1,0,4.46,3.0,16,0.16,1,19,1,19.2,100.0,3,0,3.0,0.0,0,0,127.5,0.47,0.94,27.7,24.7,6.0,,,,,,14.6,26.1,24.9,3.5,,,,,,,1.0,3.0,44.0,,,,,,15.0,4.0,3.0,57.0,,,,,,,2.0,26.0
2,Austin Ekeler,LAC,16,RB,88,70,1,647,0,8,0,5,79.5,1.64,7.35,9.24,8.87,18,15,7,20.5,21.4,87.5,1,1,1.1,1.4,12.5,206,0,911,1,12,0,4.42,3.01,37,0.18,4,48,12,23.3,100.0,16,9,7.8,75.0,2,3,345.8,0.47,1.25,11.7,20.5,22.7,29.5,34.9,9.5,,24.4,11.2,14.9,41.5,21.9,21.4,16.4,18.2,,20.2,26.9,28.0,6.0,8.0,3.0,1.0,30.0,,3.0,25.0,19.0,2.0,6.0,8.0,13.0,5.0,,12.0,2.0,3.8,27.0
3,Derrick Henry,TEN,8,RB,20,18,0,154,0,0,0,0,90.0,-1.0,7.7,8.56,9.22,1,1,0,5.0,5.6,0.0,0,0,0.0,0.0,0.0,219,2,937,5,10,2,4.28,3.32,32,0.15,1,34,8,15.5,80.0,9,4,4.1,40.0,1,1,187.1,0.46,0.79,10.7,47.7,17.4,25.7,31.0,35.6,12.2,6.8,,,,,,,,,,,31.0,1.0,17.0,4.0,4.0,1.0,23.0,45.0,,,,,,,,,,,5.3,28.0
4,Dalvin Cook,MIN,13,RB,43,34,0,224,0,0,0,5,79.1,-1.79,5.21,6.59,8.44,2,1,0,4.7,2.9,0.0,0,0,0.0,0.0,0.0,250,1,1159,4,6,0,4.64,2.73,47,0.19,3,45,5,18.0,83.3,15,3,6.0,50.0,1,2,208.3,0.34,0.73,22.4,16.8,,6.4,,22.3,,7.8,15.2,20.8,20.5,16.3,,35.2,11.1,,4.3,9.2,6.0,14.0,,47.0,,8.0,,39.0,13.0,8.0,8.0,16.0,,1.0,23.0,,49.0,31.0,7.5,27.0
5,Najee Harris,PIT,17,RB,94,74,0,467,1,3,0,7,78.7,-0.21,4.97,6.31,6.81,15,9,3,16.0,12.2,100.0,1,0,1.1,0.0,0.0,307,0,1200,3,7,0,3.91,2.97,57,0.19,0,29,6,9.4,85.7,11,4,3.6,57.1,0,0,300.7,0.31,0.79,5.9,19.1,28.2,21.1,22.2,24.7,,21.0,16.8,17.3,16.9,6.7,15.7,25.4,4.6,16.0,29.6,9.5,46.0,8.0,1.0,6.0,11.0,5.0,,8.0,10.0,14.0,12.0,38.0,18.0,4.0,56.0,13.0,2.0,29.0,8.0,24.0
6,Joe Mixon,CIN,16,RB,47,42,3,314,0,3,1,1,89.4,-0.34,6.68,7.48,7.76,8,7,2,17.0,16.7,66.7,0,0,0.0,0.0,0.0,292,0,1205,3,13,0,4.13,3.09,41,0.14,2,42,12,14.4,92.3,15,7,5.1,53.8,0,2,289.9,0.42,0.87,25.0,8.1,10.4,13.7,10.5,26.3,11.9,25.1,28.0,,24.3,32.3,11.4,8.8,7.0,31.5,15.6,,2.0,35.0,30.0,23.0,34.0,4.0,24.0,2.0,4.0,,4.0,2.0,22.0,30.0,39.0,2.0,21.0,,10.3,26.0
7,Alvin Kamara,NO,13,RB,65,47,0,439,1,5,0,7,72.3,0.98,6.75,9.34,9.45,15,10,5,23.1,21.3,100.0,2,0,3.1,0.0,0.0,240,0,898,3,4,0,3.74,2.8,45,0.19,0,41,3,17.1,75.0,11,2,4.6,50.0,0,1,234.7,0.37,0.82,18.1,7.0,20.8,12.0,29.2,,33.9,16.6,20.4,,,,,24.5,5.1,7.9,21.0,18.2,10.0,37.0,10.0,26.0,5.0,,1.0,17.0,6.0,,,,,5.0,51.0,35.0,9.0,13.0,13.3,27.0
8,D'Andre Swift,DET,13,RB,76,62,2,452,0,2,2,5,81.6,0.03,5.95,7.29,8.16,10,5,0,13.2,8.1,0.0,1,0,1.3,0.0,0.0,151,1,617,2,5,1,4.09,2.4,17,0.11,2,20,4,13.2,80.0,6,2,4.0,40.0,0,0,210.9,0.38,0.99,24.4,11.8,23.7,8.9,22.4,17.7,28.4,10.1,,16.5,22.6,3.9,,,,,5.9,14.6,4.0,20.0,5.0,37.0,10.0,16.0,2.0,30.0,,16.0,5.0,50.0,,,,,40.0,18.0,15.5,23.0
9,Aaron Jones,GB,15,RB,64,52,0,391,0,6,0,4,81.3,0.81,6.11,7.52,8.0,15,12,6,23.4,23.1,100.0,2,1,3.1,1.9,16.7,171,1,799,1,4,0,4.67,3.18,39,0.23,2,33,4,19.3,100.0,8,4,4.7,100.0,0,0,231.0,0.4,1.04,4.2,41.5,17.6,12.9,14.9,21.0,8.9,24.0,5.3,12.6,,2.3,,21.5,15.0,13.7,15.6,,51.0,2.0,16.0,24.0,23.0,10.0,32.0,4.0,46.0,20.0,,62.0,,8.0,13.0,19.0,21.0,,19.5,28.0
10,Nick Chubb,CLV,14,RB,25,20,1,174,0,1,0,0,80.0,0.52,6.96,8.7,9.3,1,1,1,4.0,5.0,100.0,0,0,0.0,0.0,0.0,228,2,1258,5,8,2,5.52,4.24,57,0.25,2,41,5,18.0,62.5,11,4,4.8,50.0,0,0,217.2,0.45,0.88,24.0,16.8,8.4,11.5,24.0,,,7.9,30.3,,22.4,5.9,,9.5,16.3,27.4,5.8,7.0,5.0,14.0,36.0,28.0,9.0,,,37.0,3.0,,6.0,40.0,,28.0,9.0,5.0,41.0,42.0,20.0,26.0
